INSTNM	LOCALE	LATITUDE	LONGITUDE
California State University-Northridge	11	34.2367	-118.5268
California State University-Sacramento	11	38.5575	-121.4219
University of California-Berkeley	12	37.8715	-122.2604
University of California-Davis	23	38.5399	-121.752
University of California-Irvine	12	33.667	-117.7686
University of California-Los Angeles	11	34.0689	-118.4439
University of California-Riverside	11	33.9759	-117.3311
University of California-San Diego	11	32.8766	-117.2378
University of California-San Francisco	11	37.7627	-122.458
University of California-Santa Barbara	22	34.4155	-119.8481
University of California-Santa Cruz	13	36.9973	-122.068
Sofia University	13	37.4303	-122.1087
California Beauty School	12	37.6452	-120.9969
California Christian College	11	36.7676	-119.7328
California College San Diego	11	32.7702	-117.1338
Le Cordon Bleu College of Culinary Arts-San Francisco	11	37.7654	-122.4026
California Hair Design Academy	21	32.7652	-117.0243
California Institute of the Arts	21	34.3933	-118.5673
California Maritime Academy	12	38.0691	-122.2316
California Western School of Law	11	32.7219	-117.1626
Canada College	21	37.4474	-122.2655
College of the Canyons	21	34.4031	-118.5695
Career Academy of Beauty	21	33.781	-118.0317
Casa Loma College-Van Nuys	11	34.1954	-118.4483
CET-San Diego	11	32.7117	-117.1225
CET-Sobrato	11	37.3227	-121.887
CET-El Centro	13	32.7909	-115.5491
CET-San Bernardino	12	34.0751	-117.2687
CET-Watsonville	13	36.9318	-121.768
CET-Gilroy	23	37.0157	-121.5614
CET-Salinas	12	36.6716	-121.6528
Cerritos College	21	33.8858	-118.0973
Cerro Coso Community College	41	35.5678	-117.6677
Chabot College	12	37.6425	-122.107
Chaffey College	21	34.1471	-117.5731
Chapman University	12	33.7937	-117.8515
Charles R Drew University of Medicine and Science	21	33.9257	-118.2428
Concordia University-Irvine	12	33.6535	-117.8106
San Diego Christian College	21	32.8	-116.9031
Church Divinity School of the Pacific	12	37.8762	-122.2614
Citrus College	21	34.1355	-117.8853
Citrus Heights Beauty College	21	NULL	NULL
City College of San Francisco	11	37.726	-122.4512
Claremont Graduate University	21	34.1038	-117.7124
Claremont McKenna College	21	34.1023	-117.7066
Milan Institute-Visalia	12	36.2841	-119.3134
Clovis Adult Education	21	36.8369	-119.6902
Coastline Community College	13	33.6098	-117.8618
Cogswell College	12	37.407	-122.0242
Coleman University	11	32.822	-117.1365
COBA Academy	12	33.7883	-117.8535
Western University of Health Sciences	21	34.0581	-117.7477
Columbia College	41	38.0304	-120.3876
Columbia College-Hollywood	11	34.1796	-118.5384
El Camino College-Compton Center	21	33.8767	-118.2092
Contra Costa College	21	37.9686	-122.3424
Cosumnes River College	11	38.4538	-121.423
Crafton Hills College	41	34.0385	-117.1008
Cuesta College	23	35.3299	-120.7416
Cuyamaca College	21	32.7431	-116.941
Cypress College	21	33.8276	-118.0239
De Anza College	13	37.3192	-122.0454
Marinello Schools of Beauty-Hemet	22	33.746	-116.9999
International School of Beauty Inc	21	33.7296	-116.4039
Dell'Arte International School of Physical Theatre	41	40.8809	-123.9889
College of the Desert	21	33.7325	-116.3876
Design Institute of San Diego	11	32.731	-117.1498
Diablo Valley College	21	37.968	-122.0699
Dominican University of California	13	37.98	-122.5147
Dominican School of Philosophy & Theology	12	37.8811	-122.2646
East Los Angeles College	13	34.0392	-118.1484
Marinello Schools of Beauty-Santa Clara	12	37.348	-121.9478
El Camino Community College District	21	33.8856	-118.3266
Elegance International	11	34.0622	-118.3383
Marinello Schools of Beauty-Burbank	12	34.1819	-118.3097
Marinello Schools of Beauty-Moreno Valley	21	33.916	-117.2281
Emperor's College of Traditional Oriental Medicine	13	34.0303	-118.4847
Empire College School of Business	12	38.4678	-122.7286
Evergreen Valley College	11	37.3017	-121.7667
Fashion Institute of Design & Merchandising-Los Angeles	11	34.0442	-118.2599
Fashion Institute of Design & Merchandising-San Francisco	11	37.7863	-122.4065
Fashion Institute of Design & Merchandising-Orange County	12	33.692	-117.8523
Feather River Community College District	41	39.9524	-120.9709
Federico Beauty Institute	21	38.6488	-121.4978
Fielding Graduate University	13	34.4344	-119.7139
Five Branches University	22	36.9641	-121.9985
Hair California Beauty Academy	12	33.8058	-117.8367
Foothill College	21	37.3611	-122.1283
Franciscan School of Theology	12	37.8771	-122.2609
Fredrick and Charles Beauty College	33	40.7988	-124.1658
Fresno City College	11	36.7675	-119.7951
Fresno Pacific University	11	36.7253	-119.732
Fuller Theological Seminary in California	12	34.1478	-118.1403
Fullerton College	21	33.8768	-117.917
Gavilan College	23	36.9733	-121.5682
Gemological Institute of America-Carlsbad	12	33.1313	-117.3188
Glendale Community College	12	34.1664	-118.2283
Glendale Career College	12	34.1496	-118.2549
Golden Gate University-San Francisco	11	37.7892	-122.3988
Golden West College	21	33.7338	-118.003
Graduate Theological Union	12	37.8755	-122.2618
Grossmont College	21	32.8161	-117.0073
Salon Success Academy-San Bernardino	12	34.136	-117.2876
Hartnell College	12	36.6731	-121.6688
Harvey Mudd College	21	34.1061	-117.7106
Heald College-Rancho Cordova	13	38.5944	-121.2801
Heald College-Fresno	11	36.8224	-119.7955
Heald College-San Jose	13	37.4109	-121.8939
Heald College-San Francisco	11	37.7819	-122.4043
Heald College-Concord	21	38.0189	-122.03
Hilltop Beauty School	21	37.7055	-122.4617
Holy Names University	11	37.8027	-122.1872
Pacifica Graduate Institute	41	34.4205	-119.5803
Humboldt State University	33	40.8741	-124.0814
Humphreys College-Stockton and Modesto Campuses	11	38.0111	-121.3164
Imperial Valley College	41	32.8276	-115.5039
Institute for Business and Technology	12	37.3686	-121.9695
Interior Designers Institute	13	33.6414	-117.8657
Toni & Guy Hairdressing Academy-Santa Monica	13	34.0175	-118.4949
Irvine Valley College	12	33.6751	-117.7786
ITT Technical Institute-National City	21	32.8071	-117.1197
ITT Technical Institute-San Dimas	21	34.1024	-117.8184
ITT Technical Institute-Orange	12	33.7812	-117.8963
Bellus Academy-El Cajon	21	32.7948	-116.9457
John F Kennedy University	21	37.8818	-122.184
American Jewish University	11	34.1281	-118.4718
Reedley College	32	36.606	-119.4599
Life Pacific College	21	34.0894	-117.831
The Art Institute of California-Argosy University San Diego	11	32.7783	-117.1554
University of La Verne	21	34.1009	-117.7726
Laguna College of Art and Design	41	33.5614	-117.7726
Lake Tahoe Community College	41	38.9269	-119.9716
Lancaster Beauty School	21	34.6956	-118.1487
Laney College	11	37.7962	-122.2624
Lassen Community College	41	40.4313	-120.6312
Life Chiropractic College West	12	37.6376	-122.1163
Lincoln University	11	37.8048	-122.2697
Southern California Seminary	21	32.8033	-116.9005
La Sierra University	11	33.9088	-117.4971
Loma Linda University	21	34.0515	-117.2611
Long Beach City College	11	33.8317	-118.1358
Southern California University of Health Sciences	21	33.9246	-117.9854
Los Angeles Harbor College	11	33.7842	-118.2819
Los Angeles Pierce College	11	34.1842	-118.5772
Los Angeles Southwest College	21	33.9296	-118.3047
Los Angeles Trade Technical College	11	34.0326	-118.2691
Los Angeles Valley College	11	34.1764	-118.4214
The Master's College and Seminary	21	34.3821	-118.5174
Los Angeles City College	11	34.0873	-118.2922
Los Angeles County College of Nursing and Allied Health	11	34.0616	-118.2114
Los Angeles Mission College	11	34.3149	-118.4191
Los Medanos College	21	38.0056	-121.8611
